"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"44","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:37:52,FALSE,NA,"936710968331132928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","R_Yeezus",640,TRUE,FALSE,NA,NA
"45","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:37:49,FALSE,NA,"936710955127406592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClutchCityGoon",98,TRUE,FALSE,NA,NA
"46","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:37:49,FALSE,NA,"936710953323978752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MathisN14",98,TRUE,FALSE,NA,NA
"47","RT @ClutchCityBR: James Harden foi eleito o melhor jogador da Conferência Oeste da NBA em Novembro!

Com médias de 34.9 PPG e 10.1 APG, o B…",FALSE,0,NA,2017-12-01 21:37:48,FALSE,NA,"936710949469409286",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bent_francisco5",7,TRUE,FALSE,NA,NA
"48","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:37:46,FALSE,NA,"936710941726691328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Junii_8_",640,TRUE,FALSE,NA,NA
"49","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:37:44,FALSE,NA,"936710934118223873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jewkneeur",640,TRUE,FALSE,NA,NA
"50","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:37:26,FALSE,NA,"936710860013297664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jack_of_Harts",98,TRUE,FALSE,NA,NA
"51","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:37:19,FALSE,NA,"936710828908339200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","David_Nosnikliw",98,TRUE,FALSE,NA,NA
"52","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:37:17,FALSE,NA,"936710818376372224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vee__Xoxo",640,TRUE,FALSE,NA,NA
"53","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:37:14,FALSE,NA,"936710808872071168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NolanKamer8",640,TRUE,FALSE,NA,NA
